ts heap stack kmem
228232701 598 384 262144
228234361 1398 384 262144
228236368 1398 352 262144
228243242 1398 352 266240
228245529 1049974 352 266240
228246305 1049974 320 266240
228307839 1049974 320 270336
228309915 1049974 320 274432
228311236 2098550 320 274432
228312029 2098550 320 274432
228368802 2098550 320 278528
228370149 3147126 320 278528
228370799 3147126 320 278528
228427007 3147126 320 282624
228428131 3147126 320 286720
228429324 4195702 320 286720
228429955 4195702 320 286720
228486015 4195702 320 290816
228487367 5244278 320 290816
228487979 5244278 320 290816
228543864 5244278 320 294912
228544945 5244278 320 299008
228546134 6292854 320 299008
228546740 6292854 320 299008
228602948 6292854 320 303104
228604297 7341430 320 303104
228604970 7341430 320 303104
228661000 7341430 320 307200
228662031 7341430 320 311296
228664973 8390006 320 311296
228665623 8390006 320 311296
228721784 8390006 320 315392
228723160 9438582 320 315392
228723816 9438582 320 315392
228780414 9438582 320 319488
228781887 9438582 320 323584
228783090 10487158 320 323584
228783780 10487158 320 323584
228805594 10487158 320 327680
228809852 10487158 320 327680
228814467 10487158 320 331776
228831135 10487158 320 335872
228840223 10487158 320 339968
228840936 10487158 320 344064
228841212 10487158 320 348160
228842366 11535734 320 348160
228843017 11535734 320 348160
228846496 11535734 320 348160
228858061 11535734 320 348160
228871784 11535734 320 348160
228883005 11535734 320 352256
228883322 11535734 320 352256
228885063 12584310 320 352256
228886102 12584310 320 352256
228890096 12584310 320 352256
228900436 12584310 320 352256
228910776 12584310 320 352256
228921226 12584310 320 352256
228927540 12584310 320 352256
228933977 12584310 320 352256
228940594 12584310 320 352256
228942212 12584310 320 352256
228944044 12584310 320 356352
228945161 12584310 320 360448
228946521 13632886 320 360448
228947334 13632886 320 360448
229004011 13632886 320 364544
229005354 14681462 320 364544
229006025 14681462 320 364544
229067229 14681462 320 368640
229068624 14681462 320 372736
229070516 15730038 320 372736
229071569 15730038 320 372736
229130092 15730038 320 376832
229132645 16778614 320 376832
229133318 16778614 320 376832
229190235 16778614 320 380928
229191215 16778614 320 385024
229192401 17827190 320 385024
229193017 17827190 320 385024
229249640 17827190 320 389120
229251000 18875766 320 389120
229251605 18875766 320 389120
229310881 18875766 320 393216
229312298 18875766 320 397312
229314011 19924342 320 397312
229314896 19924342 320 397312
229375567 19924342 320 401408
229377695 20972918 320 401408
229378657 20972918 320 401408
229438411 20972918 320 405504
229439928 20972918 320 409600
229441683 22021494 320 409600
229442593 22021494 320 409600
229502864 22021494 320 413696
229504929 23070070 320 413696
229505832 23070070 320 413696
229565640 23070070 320 417792
229568688 23070070 320 421888
229570456 24118646 320 421888
229571373 24118646 320 421888
229631696 24118646 320 425984
229633741 25167222 320 425984
229634676 25167222 320 425984
229694427 25167222 320 430080
229695925 25167222 320 434176
229697650 26215798 320 434176
229698570 26215798 320 434176
229758464 26215798 320 438272
229760591 27264374 320 438272
229761526 27264374 320 438272
229821120 27264374 320 442368
229822587 27264374 320 446464
229824302 28312950 320 446464
229825222 28312950 320 446464
229886963 28312950 320 450560
229889145 29361526 320 450560
229890118 29361526 320 450560
229949784 29361526 320 454656
229951267 29361526 320 458752
229953054 30410102 320 458752
229953959 30410102 320 458752
230013806 30410102 320 462848
230016973 31458678 320 462848
230017903 31458678 320 462848
230077531 31458678 320 466944
230079104 31458678 320 471040
230080859 32507254 320 471040
230081776 32507254 320 471040
230141597 32507254 320 475136
230143650 33555830 320 475136
230144570 33555830 320 475136
230204341 33555830 320 479232
230205858 33555830 320 483328
230207551 34604406 320 483328
230208478 34604406 320 483328
230268325 34604406 320 487424
230270360 35652982 320 487424
230271252 35652982 320 487424
230330839 35652982 320 491520
230332396 35652982 320 495616
230334166 36701558 320 495616
230335079 36701558 320 495616
230394864 36701558 320 499712
230397264 37750134 320 499712
230398184 37750134 320 499712
230457800 37750134 320 503808
230459376 37750134 320 507904
230461163 38798710 320 507904
230462066 38798710 320 507904
230522109 38798710 320 512000
230524214 39847286 320 512000
230525117 39847286 320 512000
230584593 39847286 320 516096
230586133 39847286 320 520192
230587918 40895862 320 520192
230588825 40895862 320 520192
230648629 40895862 320 524288
230650652 41944438 320 524288
230651569 41944438 320 524288
230711187 41944438 320 528384
230712645 41944438 320 532480
230714455 42993014 320 532480
230715380 42993014 320 532480
230775216 42993014 320 536576
230777241 44041590 320 536576
230778159 44041590 320 536576
230837752 44041590 320 540672
230839200 44041590 320 544768
230840957 45090166 320 544768
